Gaol Walk	(0)
Fitzgerald's Park	(11)
Bandfield	(0)
Dyke Parade	(0)
Mercy Hospital	(0)
St. Fin Barre's Bridge	(0)
Pope's Quay	(27)
North Main St.	(0)
Grattan St.	(0)
Wandesford Quay	(0)
Bishop St.	(0)
Camden Quay	(0)
Corn Market St.	(0)
Lapp's Quay	(0)
St. Patricks St.	(17)
South Main St.	(0)
Grand Parade	(0)
Peace Park	(0)
South Gate Bridge	(1)
Coburg St.	(0)
Emmet Place	(0)
South Mall	(0)
College of Commerce	(0)
Father Mathew Statue	(0)
Cork School of Music	(0)
Brian Boru Bridge	(0)
Bus Station	(0)
Cork City Hall	(0)
Lower Glanmire Rd.	(0)
Clontarf Street	(0)
Kent Station	(0)
